src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.199.129,192.168.199.1,54703,53,00:0c:29:fd:45:77,00:50:56:c0:00:01,17,2024-09-02 17:11:20,5001.78337097168,31188.875732875735,399.85738119071453,399.85738119071453,0.0,2,0,156,0,78.0,78.0,78.0,0.0,0.0,0.0,0.0,0.0,78,78,78.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,78.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0,2,0,156,0
192.168.199.128,192.168.199.1,60924,53,00:0c:29:1d:50:0e,00:50:56:c0:00:01,17,2024-09-02 17:11:20,11005.878448486328,40887.240587496206,454.3026731944023,454.3026731944023,0.0,5,0,450,0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,90,90,90.0,0.0,0.0,40,0,8,5,2751.469612121582,7999.181747436523,0.0,3111.2734212778496,11005.878448486328,7999.181747436523,0.0,2751.469612121582,3111.2734212778496,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,90.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,5.0,0.0,0.0,21806.528313331313,0.0,90.0,0.0,0,5,0,450,0
192.168.199.128,192.168.199.129,51207,82,00:0c:29:1d:50:0e,00:0c:29:fd:45:77,6,2024-09-02 17:11:20,12999.05776977539,10154.582150324639,153.85730530794908,153.85730530794908,0.0,2,0,132,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,40,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,2,0,132,0
192.168.199.128,192.168.199.129,51208,4000,00:0c:29:1d:50:0e,00:0c:29:fd:45:77,6,2024-09-02 17:11:20,13993.501663208008,9432.949891809927,142.9234832092413,142.9234832092413,0.0,2,0,132,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,40,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,2,0,132,0
192.168.199.1,239.255.255.250,62740,1900,00:50:56:c0:00:01,01:00:5e:7f:ff:fa,17,2024-09-02 17:11:20,5991.697311401367,144199.54064700968,667.5904659583781,667.5904659583781,0.0,4,0,864,0,216.0,216.0,216.0,0.0,0.0,0.0,0.0,0.0,216,216,216.0,0.0,0.0,32,0,8,4,1997.232437133789,4993.438720703125,0.0,2157.4783311002975,5991.697311401367,4993.438720703125,0.0,1997.232437133789,2157.4783311002975,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,216.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,696.0,4.0,0.0,0.0,116160.74107675778,0.0,216.0,0.0,0,4,0,864,0
192.168.199.129,192.168.199.128,50106,2684,00:0c:29:fd:45:77,00:0c:29:1d:50:0e,6,2024-09-02 17:11:20,45989.990234375,70058.72329130724,587.0842733908428,391.38951559389517,195.69475779694758,18,9,1146,2076,80.0,60.0,63.666666666666664,6.298147875897061,565.0,62.0,230.66666666666666,183.71535954659137,565,60,119.33333333333333,132.19093934322595,17474.444444444445,360,180,20,18,1768.8457782451924,7998.943328857422,566.9593811035156,1583.8417701864914,45989.990234375,7998.943328857422,1048.8033294677734,2705.2935431985293,1600.5468591645815,43941.497802734375,10004.997253417969,3179.5501708984375,5492.687225341797,2120.143749880109,0,0,0,0,1,0,0,0,0,0,0,0.5,119.33333333333333,1021,8211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.666666666666664,230.66666666666666,0,18,9,1146,2076
192.168.199.129,192.168.199.1,53791,53,00:0c:29:fd:45:77,00:50:56:c0:00:01,17,2024-09-02 17:11:20,18003.94058227539,24994.528166962416,277.71697963291575,277.71697963291575,0.0,5,0,450,0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,90,90,90.0,0.0,0.0,40,0,8,5,4500.985145568848,7006.645202636719,1000.1659393310547,2292.892563279541,18003.94058227539,7006.645202636719,1000.1659393310547,4500.985145568848,2292.892563279541,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,90.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,5.0,0.0,0.0,13330.415022379955,0.0,90.0,0.0,0,5,0,450,0
192.168.199.128,192.168.199.1,51557,53,00:0c:29:1d:50:0e,00:50:56:c0:00:01,17,2024-09-02 17:11:20,4993.438720703125,45659.917494270434,600.7883880825058,600.7883880825058,0.0,3,0,228,0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,76,76,76.0,0.0,0.0,24,0,8,3,2496.7193603515625,3993.7496185302734,999.6891021728516,1497.030258178711,4993.438720703125,3993.7496185302734,999.6891021728516,2496.7193603515625,1497.030258178711,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,76.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0,3,0,228,0
192.168.199.128,192.168.199.129,51209,82,00:0c:29:1d:50:0e,00:0c:29:fd:45:77,6,2024-09-02 17:11:20,27577.638626098633,11966.216704562155,181.3063137054872,181.3063137054872,0.0,5,0,330,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,100,0,20,0,6894.409656524658,14528.989791870117,1999.6166229248047,4966.957350550802,27577.638626098633,14528.989791870117,1999.6166229248047,6894.409656524658,4966.957350550802,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,5,0,330,0
192.168.199.128,192.168.199.129,51210,4000,00:0c:29:1d:50:0e,00:0c:29:fd:45:77,6,2024-09-02 17:11:20,28636.455535888672,11523.77254183665,174.60261427025227,174.60261427025227,0.0,5,0,330,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,100,0,20,0,7159.113883972168,14605.998992919922,2993.5836791992188,4764.815024880774,28636.455535888672,14605.998992919922,2993.5836791992188,7159.113883972168,4764.815024880774,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,5,0,330,0
