src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,label
192.168.199.129,192.168.199.1,54703,53,00:0c:29:fd:45:77,00:50:56:c0:00:01,17,2024/9/2 17:11,5001.783371,31188.87573,399.8573812,399.8573812,0,2,0,156,0,78,78,78,0,0,0,0,0,78,78,78,0,0,16,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,2,0,156,0,Antylamus
192.168.199.128,192.168.199.1,60924,53,00:0c:29:1d:50:0e,00:50:56:c0:00:01,17,2024/9/2 17:11,11005.87845,40887.24059,454.3026732,454.3026732,0,5,0,450,0,90,90,90,0,0,0,0,0,90,90,90,0,0,40,0,8,5,2751.469612,7999.181747,0,3111.273421,11005.87845,7999.181747,0,2751.469612,3111.273421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,240,5,0,0,21806.52831,0,90,0,0,5,0,450,0,Antylamus
192.168.199.128,192.168.199.129,51207,82,00:0c:29:1d:50:0e,00:0c:29:fd:45:77,6,2024/9/2 17:11,12999.05777,10154.58215,153.8573053,153.8573053,0,2,0,132,0,66,66,66,0,0,0,0,0,66,66,66,0,0,40,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,66,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,2,0,132,0,Antylamus
192.168.199.128,192.168.199.129,51208,4000,00:0c:29:1d:50:0e,00:0c:29:fd:45:77,6,2024/9/2 17:11,13993.50166,9432.949892,142.9234832,142.9234832,0,2,0,132,0,66,66,66,0,0,0,0,0,66,66,66,0,0,40,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,66,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,2,0,132,0,Antylamus
192.168.199.1,239.255.255.250,62740,1900,00:50:56:c0:00:01,01:00:5e:7f:ff:fa,17,2024/9/2 17:11,5991.697311,144199.5406,667.590466,667.590466,0,4,0,864,0,216,216,216,0,0,0,0,0,216,216,216,0,0,32,0,8,4,1997.232437,4993.438721,0,2157.478331,5991.697311,4993.438721,0,1997.232437,2157.478331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,696,4,0,0,116160.7411,0,216,0,0,4,0,864,0,Antylamus
192.168.199.129,192.168.199.128,50106,2684,00:0c:29:fd:45:77,00:0c:29:1d:50:0e,6,2024/9/2 17:11,45989.99023,70058.72329,587.0842734,391.3895156,195.6947578,18,9,1146,2076,80,60,63.66666667,6.298147876,565,62,230.6666667,183.7153595,565,60,119.3333333,132.1909393,17474.44444,360,180,20,18,1768.845778,7998.943329,566.9593811,1583.84177,45989.99023,7998.943329,1048.803329,2705.293543,1600.546859,43941.4978,10004.99725,3179.550171,5492.687225,2120.14375,0,0,0,0,1,0,0,0,0,0,0,0.5,119.3333333,1021,8211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.66666667,230.6666667,0,18,9,1146,2076,Antylamus
192.168.199.129,192.168.199.1,53791,53,00:0c:29:fd:45:77,00:50:56:c0:00:01,17,2024/9/2 17:11,18003.94058,24994.52817,277.7169796,277.7169796,0,5,0,450,0,90,90,90,0,0,0,0,0,90,90,90,0,0,40,0,8,5,4500.985146,7006.645203,1000.165939,2292.892563,18003.94058,7006.645203,1000.165939,4500.985146,2292.892563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,240,5,0,0,13330.41502,0,90,0,0,5,0,450,0,Antylamus
192.168.199.128,192.168.199.1,51557,53,00:0c:29:1d:50:0e,00:50:56:c0:00:01,17,2024/9/2 17:11,4993.438721,45659.91749,600.7883881,600.7883881,0,3,0,228,0,76,76,76,0,0,0,0,0,76,76,76,0,0,24,0,8,3,2496.71936,3993.749619,999.6891022,1497.030258,4993.438721,3993.749619,999.6891022,2496.71936,1497.030258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,3,0,228,0,Antylamus
192.168.199.128,192.168.199.129,51209,82,00:0c:29:1d:50:0e,00:0c:29:fd:45:77,6,2024/9/2 17:11,27577.63863,11966.2167,181.3063137,181.3063137,0,5,0,330,0,66,66,66,0,0,0,0,0,66,66,66,0,0,100,0,20,0,6894.409657,14528.98979,1999.616623,4966.957351,27577.63863,14528.98979,1999.616623,6894.409657,4966.957351,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,66,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,5,0,330,0,Antylamus
192.168.199.128,192.168.199.129,51210,4000,00:0c:29:1d:50:0e,00:0c:29:fd:45:77,6,2024/9/2 17:11,28636.45554,11523.77254,174.6026143,174.6026143,0,5,0,330,0,66,66,66,0,0,0,0,0,66,66,66,0,0,100,0,20,0,7159.113884,14605.99899,2993.583679,4764.815025,28636.45554,14605.99899,2993.583679,7159.113884,4764.815025,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,66,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,5,0,330,0,Antylamus
