src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.122.251.51,10.3.9.5,61067,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,6,2024-09-02 17:11:57,16999.72152709961,45294.8596112311,647.0694230175872,352.946958009593,294.12246500799415,6,5,372,398,88.0,54.0,62.0,12.382783747337808,152.0,60.0,79.6,36.27450895601483,152,54,70.0,27.541703915071313,758.5454545454545,120,100,20,2,1699.972152709961,3000.020980834961,0.0,899.860668016976,16999.72152709961,7000.207901000977,0.0,3399.944305419922,2245.09511476777,12000.799179077148,5999.80354309082,2000.0934600830078,3000.199794769287,1731.8220561728215,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,70.0,64240,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,4.0,0.0,19330.12570520461,62.0,79.6,0,6,5,372,398
10.122.251.51,10.3.9.5,61066,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,6,2024-09-02 17:11:57,18998.384475708008,38845.4081947669,578.9965991089916,315.8163267867227,263.18027232226893,6,5,372,366,88.0,54.0,62.0,12.382783747337808,120.0,60.0,73.2,23.51510153071851,120,54,67.0909090909091,19.133286299747336,366.0826446280991,120,100,20,2,1899.8384475708008,3000.974655151367,999.45068359375,700.2526432285588,18998.384475708008,9001.25503540039,999.6891021728516,3799.6768951416016,2786.311172073965,13999.93896484375,5999.326705932617,1999.3782043457031,3499.9847412109375,1658.0485353170377,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,67.0909090909091,64240,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,4.0,0.0,10499.19647167506,62.0,73.2,0,6,5,372,366
10.122.251.51,20.205.243.166,61036,443,a0:02:a5:91:85:93,10:4f:58:6c:24:00,6,2024-09-02 17:11:57,48633.33702087402,2344.071103964546,41.124054455518355,20.562027227759177,20.562027227759177,1,1,54,60,54.0,54.0,54.0,0.0,60.0,60.0,60.0,0.0,60,54,57.0,3.0,9.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,512,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,60.0,0,1,1,54,60
10.122.251.51,20.10.16.51,61033,443,a0:02:a5:91:85:93,10:4f:58:6c:24:00,6,2024-09-02 17:11:57,65633.53538513184,2559.667081990795,45.70834074983563,30.472227166557083,15.236113583278541,2,1,108,60,54.0,54.0,54.0,0.0,60.0,60.0,60.0,0.0,60,54,56.0,2.8284271247461903,8.0,40,20,20,0,32816.76769256592,64633.60786437988,999.9275207519531,31816.840171813965,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,56.0,509,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,60.0,0,2,1,108,60
10.122.251.51,140.82.112.21,60982,443,a0:02:a5:91:85:93,10:4f:58:6c:24:00,6,2024-09-02 17:11:57,73633.43238830566,1548.2097778468533,27.161575049944794,13.580787524972397,13.580787524972397,1,1,54,60,54.0,54.0,54.0,0.0,60.0,60.0,60.0,0.0,60,54,57.0,3.0,9.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,512,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,60.0,0,1,1,54,60
101.72.217.138,10.122.251.51,443,60646,10:4f:58:6c:24:00,a0:02:a5:91:85:93,6,2024-09-02 17:11:57,5003.690719604492,79741.13956258637,1199.1148806403964,799.409920426931,399.7049602134655,4,2,291,108,93.0,60.0,72.75,13.808964479641476,54.0,54.0,54.0,0.0,93,54,66.5,14.326548781894402,205.25,80,40,20,4,1000.7381439208984,2003.6697387695312,0.0,633.6166440809149,5003.690719604492,3003.835678100586,999.9275207519531,1667.8969065348308,944.6513646241715,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,66.5,71,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,4.0,0.0,0.0,14988.936008004956,0.0,72.75,54.0,0,4,2,291,108
104.215.41.138,10.122.251.51,443,60650,10:4f:58:6c:24:00,a0:02:a5:91:85:93,6,2024-09-02 17:11:57,292594.90966796875,1363.6600870902976,20.50616672316237,13.670777815441578,6.835388907720789,4,2,291,108,93.0,60.0,72.75,13.808964479641476,54.0,54.0,54.0,0.0,93,54,66.5,14.326548781894402,205.25,80,40,20,4,58518.98193359375,288601.8753051758,993.0133819580078,115041.44671771069,292594.90966796875,290594.81620788574,999.9275207519531,97531.63655598958,136516.28352932716,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,66.5,63,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,4.0,0.0,0.0,256.3270840395296,0.0,72.75,54.0,0,4,2,291,108
10.122.251.51,10.3.9.5,61070,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,6,2024-09-02 17:11:58,35000.08583068848,23171.371748148853,314.28494356305475,171.4281510343935,142.85679252866126,6,5,368,443,84.0,54.0,61.333333333333336,10.994948334980428,197.0,60.0,88.6,54.24979262633176,197,54,73.72727272727273,39.849925080552154,1588.0165289256197,120,100,20,2,3500.0085830688477,9999.752044677734,0.0,3232.8728673786613,35000.08583068848,17999.649047851562,997.5433349609375,7000.017166137695,5933.019295964791,31000.375747680664,16000.509262084961,0.0,7750.093936920166,7293.230038707603,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,73.72727272727273,64240,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,4.0,0.0,10733.428871157454,61.333333333333336,88.6,0,6,5,368,443
10.122.251.51,10.3.9.5,61071,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,6,2024-09-02 17:11:58,38000.10681152344,24710.45685890679,289.47287055162377,157.89429302815842,131.57857752346536,6,5,368,571,84.0,54.0,61.333333333333336,10.994948334980428,325.0,60.0,114.2,105.4256135860731,325,54,85.36363636363636,76.22964434972755,5810.95867768595,120,100,20,2,3800.0106811523438,8999.58610534668,995.1591491699219,2483.6816032015477,38000.10681152344,17993.927001953125,999.45068359375,7600.0213623046875,5815.383720066765,32000.064849853516,15999.555587768555,2994.537353515625,8000.016212463379,4950.245016038669,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,85.36363636363636,64240,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,4.0,0.0,18061.92510914753,61.333333333333336,114.2,0,6,5,368,571
10.122.251.51,10.3.9.5,61072,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,6,2024-09-02 17:11:58,36000.01335144043,20499.992397099242,305.5554422331865,166.6666048544654,138.88883737872115,6,5,372,366,88.0,54.0,62.0,12.382783747337808,120.0,60.0,73.2,23.51510153071851,120,54,67.0909090909091,19.133286299747336,366.0826446280991,120,100,20,2,3600.001335144043,11999.60708618164,0.0,3497.694135898135,36000.01335144043,18007.278442382812,0.0,7200.002670288086,6275.542289890878,31002.283096313477,16999.72152709961,999.9275207519531,7750.570774078369,6608.323363642161,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,67.0909090909091,64240,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,4.0,0.0,5998.902385452317,62.0,73.2,0,6,5,372,366
