src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.122.251.51,10.3.9.4,51955,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,999.45068359375,292160.48854961834,2001.0992366412213,1000.5496183206106,1000.5496183206106,1,1,83,209,83.0,83.0,83.0,0.0,209.0,209.0,209.0,0.0,209,83,146.0,63.0,3969.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,146.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,209.0,0,1,1,83,209
10.122.251.51,220.194.117.245,58487,80,a0:02:a5:91:85:93,10:4f:58:6c:24:00,6,2024-09-02 17:16:18,8001.565933227539,109103.64387235184,1124.779833735586,624.8776854086589,499.9021483269271,5,4,472,401,244.0,54.0,94.4,74.94424594323436,215.0,60.0,100.25,66.29621029893036,244,54,97.0,71.28970628514486,5082.222222222223,100,80,20,1,1000.1957416534424,2001.2855529785156,0.0,500.3416315081634,8001.565933227539,3991.842269897461,999.9275207519531,2000.3914833068848,1219.695954167007,6001.472473144531,3000.2593994140625,999.9275207519531,2000.4908243815105,816.632263177304,0,0,0,0,1,0,0,0,0,0,0,0.8,97.0,64240,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.4,100.25,0,5,4,472,401
10.122.251.51,10.3.9.4,63331,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,1997.9476928710938,234740.8801909308,1001.0272076372315,500.51360381861576,500.51360381861576,1,1,88,381,88.0,88.0,88.0,0.0,381.0,381.0,381.0,0.0,381,88,234.5,146.5,21462.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,234.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,381.0,0,1,1,88,381
10.122.251.51,10.3.9.4,59201,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,2074.4800567626953,220296.16457878405,964.097000344788,482.048500172394,482.048500172394,1,1,88,369,88.0,88.0,88.0,0.0,369.0,369.0,369.0,0.0,369,88,228.5,140.5,19740.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,228.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,369.0,0,1,1,88,369
10.122.251.51,10.3.9.4,53255,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,1075.9830474853516,476773.3108796809,1858.7653445601595,929.3826722800798,929.3826722800798,1,1,88,425,88.0,88.0,88.0,0.0,425.0,425.0,425.0,0.0,425,88,256.5,168.5,28392.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,256.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,425.0,0,1,1,88,425
10.122.251.51,220.181.38.150,58484,80,a0:02:a5:91:85:93,10:4f:58:6c:24:00,6,2024-09-02 17:16:18,90236.42539978027,5252.867651838014,88.65599412384834,44.32799706192417,44.32799706192417,4,4,228,246,66.0,54.0,57.0,5.196152422706632,66.0,60.0,61.5,2.598076211353316,66,54,59.25,4.683748498798798,21.9375,80,80,20,0,12890.917914254325,85242.74826049805,0.0,29539.521169582913,4993.677139282227,1998.9013671875,999.2122650146484,1664.559046427409,470.47319440450156,89242.69676208496,86242.1989440918,999.45068359375,29747.565587361652,39949.8310171319,0,0,0,0,1,0,0,0,0,0,0,1.0,59.25,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,61.5,0,4,4,228,246
10.122.251.51,10.3.9.4,62367,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,2006.7691802978516,179891.14221218962,996.6268266603303,498.31341333016513,498.31341333016513,1,1,72,289,72.0,72.0,72.0,0.0,289.0,289.0,289.0,0.0,289,72,180.5,108.5,11772.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,180.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,289.0,0,1,1,72,289
10.122.251.51,10.3.9.4,55005,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,3008.127212524414,101059.55583736229,664.8654989300151,332.43274946500753,332.43274946500753,1,1,72,232,72.0,72.0,72.0,0.0,232.0,232.0,232.0,0.0,232,72,152.0,80.0,6400.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,152.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,232.0,0,1,1,72,232
10.122.251.51,10.3.9.4,50730,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,2000.3318786621094,203966.15399284862,999.8340882002384,499.9170441001192,499.9170441001192,1,1,70,338,70.0,70.0,70.0,0.0,338.0,338.0,338.0,0.0,338,70,204.0,134.0,17956.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,204.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,338.0,0,1,1,70,338
10.122.251.51,10.3.9.4,63740,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,1999.8550415039062,175512.7210300429,1000.072484501669,500.0362422508345,500.0362422508345,1,1,70,281,70.0,70.0,70.0,0.0,281.0,281.0,281.0,0.0,281,70,175.5,105.5,11130.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,175.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,281.0,0,1,1,70,281
10.122.251.51,10.3.9.4,59373,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,1998.6629486083984,117078.26983180246,1000.6689729213886,500.3344864606943,500.3344864606943,1,1,76,158,76.0,76.0,76.0,0.0,158.0,158.0,158.0,0.0,158,76,117.0,41.0,1681.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,117.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,158.0,0,1,1,76,158
