tcp.stream;tls.handshake;tls.handshake.cert_types;tls.handshake.ciphersuites;tls.handshake.cipher_suites_length;tls.handshake.extensions_reneg_info_len;tls.handshake.extensions_server_name_list_len;tls.handshake.extensions_server_name_type;tls.handshake.certificates_length;tls.handshake.client_point_len;tls.handshake.comp_methods_length;tls.handshake.extensions_length;tls.handshake.extensions_server_name;tls.handshake.extensions_server_name_len;tls.handshake.extensions_server_name_type;tls.handshake.length;tls.handshake.ocsp_response_len;tls.handshake.session_id;tls.handshake.session_ticket_length;tls.handshake.sig_hash_alg;tls.handshake.type;tls.handshake.version;tls.sct.scts_length;tls.sct.sct_timestamp;tls.record.content_type;tls.quic.parameter.type;dns.a;dns.aaaa;dns.cert.algorithm;dns.count.answers;dns.resp.ttl;dns.resp.len;dns.resp.type
14;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;1;;1;28;0;23;;;;1;130;fonts.googleapis.com;20;0;199;;;;0x0403,0x0804,0x0401,0x0503,0x0805,0x0501,0x0806,0x0601,0x0201;1;0x0303;;;22;;;;;;;;
209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;1;;;;0;;;;;;279;;;;319;;;;0x0403,0x0403;2;0x0303;241;Jun 21, 2017 15:39:38.750000000 UTC,Jun 21, 2017 15:39:38.354000000 UTC;22;;;;;;;;
209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;1,1,1;;;;;;;3223;;;;;;;3226,296,0;;;;0x0804;11,12,14;;;;22,22,22;;;;;;;;
209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;1,1,1;;;;;;;;32;;;;;;33;;;;;16;;;;22,20,22,22;;;;;;;;
209;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;
209;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;
209;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;
209;1,1;;;;;;;;;;;;;;285;;;279;;4;;;;22,20,22;;;;;;;;
209;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;
209;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;
209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;
