src,sport,dst,dport,fiat_mean,fiat_min,fiat_max,fiat_std,biat_mean,biat_min,biat_max,biat_std,diat_mean,diat_min,diat_max,diat_std,duration,fwin_total,fwin_mean,fwin_min,fwin_max,fwin_std,bwin_total,bwin_mean,bwin_min,bwin_max,bwin_std,dwin_total,dwin_mean,dwin_min,dwin_max,dwin_std,fpnum,bpnum,dpnum,bfpnum_rate,fpnum_s,bpnum_s,dpnum_s,fpl_total,fpl_mean,fpl_min,fpl_max,fpl_std,bpl_total,bpl_mean,bpl_min,bpl_max,bpl_std,dpl_total,dpl_mean,dpl_min,dpl_max,dpl_std,bfpl_rate,fpl_s,bpl_s,dpl_s,fin_cnt,syn_cnt,rst_cnt,pst_cnt,ack_cnt,urg_cnt,cwe_cnt,ece_cnt,fwd_pst_cnt,fwd_urg_cnt,bwd_pst_cnt,bwd_urg_cnt,fp_hdr_len,bp_hdr_len,dp_hdr_len,f_ht_len,b_ht_len,d_ht_len
192.168.10.14,50167,54.230.38.215,443,1.713385,0.000048,5.110408,2.402088,5.047341,0.000214,10.032021,4.095706,2.163149,0.000017,10.001885,3.646802,15.142141,1024,256.0,256,256,0.0,492,123.0,123,123,0.0,1516,189.5,123,256,66.5,4,4,8,0.99975,0.264163,0.264163,0.528326,265,66.25,60,85,10.825318,252,63.0,60,66,3.0,517,64.625,60,85,8.107674,0.95094,17.500828,16.642296,34.143124,2,0,0,1,8,0,0,0,1,0,0,0,216,216,432,0.81203,0.853755,0.83559
192.168.10.14,50095,13.107.4.50,80,0.000546,0.000001,0.476635,0.003788,0.000413,0.000000,0.498814,0.003681,0.000235,0.000000,0.476635,0.002476,66.895043,195301962,1594.301731,3,1985,171.28288,166045890,1023.994881,1022,1026,1.580273,361347852,1269.423871,3,1985,303.909968,122500,162155,284655,1.323714,1831.226867,2424.021164,4255.248031,7399206,60.401682,60,421,8.433178,373709122,2304.641374,60,4789,838.818518,381108328,1338.842908,60,4789,1278.892289,50.506652,110609.182208,5586499.466037,5697108.648245,0,0,0,2904,284655,0,0,0,65,0,2839,0,6615000,8756370,15371370,0.894015,0.023431,0.040333
192.168.10.16,37572,104.16.165.179,443,5.612169,0.000044,10.240052,4.729539,6.731596,0.000003,10.242423,4.396443,2.806085,0.000003,10.225001,4.355445,33.673115,65443,9349.0,9349,9349,0.0,228,38.0,38,38,0.0,65671,5051.615385,38,9349,4641.705896,7,6,13,0.85702,0.207881,0.178184,0.386065,445,63.571429,60,85,8.748178,360,60.0,60,60,0.0,805,61.923077,60,85,6.661734,0.808987,13.215291,10.691022,23.906313,2,0,0,1,13,0,0,0,1,0,0,0,378,324,702,0.847534,0.897507,0.87205
192.168.10.16,55396,52.87.48.187,443,2.243377,0.000235,10.128269,3.52139,2.243628,0.000245,10.183908,3.548535,1.101608,0.000005,10.128269,2.705535,58.385323,23392,866.37037,717,990,78.405474,11394,422.0,422,422,0.0,34786,644.185185,422,990,228.997742,27,27,54,0.999963,0.462445,0.462445,0.924890,21631,801.148148,66,2111,892.469346,16571,613.740741,66,1547,647.823798,38202,707.444444,66,2111,785.410076,0.766076,370.486946,283.821330,654.308276,0,0,0,23,54,0,0,0,11,0,12,0,1458,1458,2916,0.0674,0.08798,0.076331
192.168.10.14,50178,104.88.14.9,443,3.734520,0.000011,10.031254,4.142035,3.728795,0.000213,10.032032,4.148724,1.659808,0.000011,10.008159,3.315345,14.938376,1024,204.8,0,256,102.4,4900,980.0,980,980,0.0,5924,592.4,0,980,394.305262,5,5,10,0.9998,0.334708,0.334708,0.669416,325,65.0,60,85,10.0,337,67.4,60,85,9.2,662,66.2,60,85,9.682975,1.03692,21.756046,22.559346,44.315392,1,0,2,2,10,0,0,0,1,0,1,0,270,270,540,0.828221,0.798817,0.81571
192.168.10.14,50148,104.88.37.108,443,3.733979,0.000004,10.031230,4.142474,3.728241,0.000001,10.032172,4.149321,1.659546,0.000001,10.008377,3.315545,14.936016,1012,202.4,0,253,101.2,5185,1037.0,1037,1037,0.0,6197,619.7,0,1037,423.391084,5,5,10,0.9998,0.334761,0.334761,0.669522,325,65.0,60,85,10.0,337,67.4,60,85,9.2,662,66.2,60,85,9.682975,1.03692,21.759484,22.562911,44.322395,1,0,2,2,10,0,0,0,1,0,1,0,270,270,540,0.828221,0.798817,0.81571
192.168.10.14,50179,104.88.14.9,443,3.733980,0.000047,10.031216,4.142532,2.982563,0.000001,10.031964,3.999603,1.493592,0.000001,10.008169,3.184529,14.936019,1024,204.8,0,256,102.4,5880,980.0,980,980,0.0,6904,627.636364,0,980,392.120407,5,6,11,1.19976,0.334761,0.401713,0.736474,325,65.0,60,85,10.0,397,66.166667,60,85,8.83962,722,65.636364,60,85,9.402831,1.221535,21.759480,26.580041,48.339521,2,0,1,2,11,0,0,0,1,0,1,0,270,324,594,0.828221,0.81407,0.822715
192.168.10.14,50147,104.88.37.108,443,3.733984,0.000001,10.031279,4.14246,3.728180,0.000000,10.031927,4.149227,1.659549,0.000000,10.008199,3.315473,14.936038,1024,204.8,0,256,102.4,5715,1143.0,1143,1143,0.0,6739,673.9,0,1143,474.655338,5,5,10,0.9998,0.334761,0.334761,0.669522,325,65.0,60,85,10.0,337,67.4,60,85,9.2,662,66.2,60,85,9.682975,1.03692,21.759452,22.562878,44.322330,1,0,2,2,10,0,0,0,1,0,1,0,270,270,540,0.828221,0.798817,0.81571
192.168.10.14,50168,104.88.14.9,443,3.710544,0.000003,10.031243,4.136034,3.703565,0.000001,10.031203,4.142374,1.649130,0.000001,10.003438,3.303241,14.842274,1012,202.4,0,253,101.2,5065,1013.0,1013,1013,0.0,6077,607.7,0,1013,411.568718,5,5,10,0.9998,0.336876,0.336876,0.673752,325,65.0,60,85,10.0,337,67.4,60,85,9.2,662,66.2,60,85,9.682975,1.03692,21.896914,22.705416,44.602330,1,0,2,2,10,0,0,0,1,0,1,0,270,270,540,0.828221,0.798817,0.81571
192.168.10.14,50181,74.121.138.97,443,10.031249,10.031225,10.031268,1.4e-05,10.031248,10.028766,10.033749,0.001443,4.631640,0.023771,10.007489,4.976624,60.211414,1757,251.0,251,251,0.0,448,64.0,64,64,0.0,2205,157.5,64,251,93.5,7,7,14,0.999857,0.116257,0.116257,0.232514,420,60.0,60,60,0.0,462,66.0,66,66,0.0,882,63.0,60,66,3.0,1.099997,6.975422,7.672964,14.648386,0,0,0,0,14,0,0,0,0,0,0,0,378,378,756,0.897862,0.816415,0.857143
