src,sport,dst,dport,fiat_mean,fiat_min,fiat_max,fiat_std,biat_mean,biat_min,biat_max,biat_std,diat_mean,diat_min,diat_max,diat_std,duration,fwin_total,fwin_mean,fwin_min,fwin_max,fwin_std,bwin_total,bwin_mean,bwin_min,bwin_max,bwin_std,dwin_total,dwin_mean,dwin_min,dwin_max,dwin_std,fpnum,bpnum,dpnum,bfpnum_rate,fpnum_s,bpnum_s,dpnum_s,fpl_total,fpl_mean,fpl_min,fpl_max,fpl_std,bpl_total,bpl_mean,bpl_min,bpl_max,bpl_std,dpl_total,dpl_mean,dpl_min,dpl_max,dpl_std,bfpl_rate,fpl_s,bpl_s,dpl_s,fin_cnt,syn_cnt,rst_cnt,pst_cnt,ack_cnt,urg_cnt,cwe_cnt,ece_cnt,fwd_pst_cnt,fwd_urg_cnt,bwd_pst_cnt,bwd_urg_cnt,fp_hdr_len,bp_hdr_len,dp_hdr_len,f_ht_len,b_ht_len,d_ht_len
10.135.48.36,50252,110.7.81.21,18205,0.002142,0.000005,0.337999,0.02039,0.001482,0.000000,0.338194,0.015178,0.000893,0.000000,0.337806,0.011754,1.296887,2367431,4103.0,4103,4103,0.0,928560,1060.0,1060,1060,0.0,3295991,2268.403992,1060,4103,1488.936916,577,876,1453,1.518195,444.911546,675.463629,1120.375175,49718,86.166378,54,282,18.330304,1172518,1338.490868,60,1354,133.125927,1222236,841.181005,54,1354,621.525852,23.58337,38336.416357,904101.899394,942438.315751,0,0,0,186,1453,0,0,0,6,0,180,0,31158,47304,78462,0.626682,0.040344,0.064195
10.135.48.36,52175,103.254.108.49,80,0,0,0,0,0,0,0,0,0.047960,0.047960,0.047960,0.0,0.048060,512,512.0,512,512,0.0,21,21.0,21,21,0.0,533,266.5,21,512,245.5,1,1,2,0.999001,20.807324,20.807324,41.614648,54,54.0,54,54,0.0,777,777.0,777,777,0.0,831,415.5,54,777,361.5,14.388622,1123.595506,16167.290886,17290.886392,0,0,0,1,2,0,0,0,0,0,1,0,54,54,108,0.981818,0.069409,0.129964
10.135.48.36,51079,218.7.138.31,18235,0.001354,0.000006,0.295283,0.00962,0.001362,0.000000,0.295155,0.009576,0.000685,0.000000,0.295089,0.006799,1.585822,2362750,2050.998264,2050,2051,0.04163,113005,97.0,97,97,0.0,2475755,1068.517479,97,2051,976.983754,1152,1165,2317,1.011284,726.437141,734.634782,1461.071923,102578,89.043403,54,283,9.663965,1570798,1348.324464,60,1354,79.687724,1673376,722.216659,54,1354,632.19778,15.313205,64684.434949,990526.048951,1055210.483900,0,0,0,453,2317,0,0,0,4,0,449,0,62208,62910,125118,0.60644,0.04005,0.07477
10.135.48.36,52177,20.44.197.112,443,0,0,0,0,0.606770,0.606770,0.606770,0.0,0.303385,0.078007,0.528763,0.225378,0.606870,512,512.0,512,512,0.0,0,0.0,0,0,0.0,512,170.666667,0,512,241.359115,1,2,3,1.998002,1.647799,3.295599,4.943398,85,85.0,85,85,0.0,120,60.0,60,60,0.0,205,68.333333,60,85,11.785113,1.411748,140.062946,197.735924,337.798870,1,0,2,1,3,0,0,0,1,0,0,0,54,108,162,0.627907,0.892562,0.790244
10.135.48.36,52176,103.254.108.49,80,0,0,0,0,0,0,0,0,0.045659,0.045659,0.045659,0.0,0.045759,510,510.0,510,510,0.0,21,21.0,21,21,0.0,531,265.5,21,510,244.5,1,1,2,0.999001,21.853624,21.853624,43.707248,54,54.0,54,54,0.0,730,730.0,730,730,0.0,784,392.0,54,730,338.0,13.518268,1180.095719,15953.145829,17133.241548,0,0,0,1,2,0,0,0,0,0,1,0,54,54,108,0.981818,0.073871,0.137755
10.135.48.36,52179,103.254.108.49,80,0,0,0,0,0.027869,0.027869,0.027869,0.0,0.037851,0.027869,0.047833,0.009982,0.075802,512,512.0,512,512,0.0,42,21.0,21,21,0.0,554,184.666667,21,512,231.45962,1,2,3,1.998002,13.192264,26.384528,39.576792,54,54.0,54,54,0.0,833,416.5,60,773,356.5,887,295.666667,54,773,337.534525,15.42564,712.382259,10989.155959,11701.538218,0,0,0,1,3,0,0,0,0,0,1,0,54,108,162,0.981818,0.129496,0.182638
10.135.48.36,52174,20.44.197.112,443,1.200527,1.200527,1.200527,0.0,0,0,0,0,0.600264,0.072688,1.127839,0.527576,1.200627,1024,512.0,512,512,0.0,0,0.0,0,0,0.0,1024,341.333333,0,512,241.359115,2,1,3,0.49975,1.665796,0.832898,2.498694,170,85.0,85,85,0.0,60,60.0,60,60,0.0,230,76.666667,60,85,11.785113,0.352939,141.592684,49.973889,191.566573,2,0,1,2,3,0,0,0,2,0,0,0,108,54,162,0.631579,0.885246,0.704348
10.135.48.36,52180,103.254.108.49,80,0,0,0,0,0,0,0,0,0.043457,0.043457,0.043457,0.0,0.043557,510,510.0,510,510,0.0,21,21.0,21,21,0.0,531,265.5,21,510,244.5,1,1,2,0.999001,22.958422,22.958422,45.916844,54,54.0,54,54,0.0,780,780.0,780,780,0.0,834,417.0,54,780,363.0,14.444177,1239.754804,17907.569392,19147.324196,0,0,0,1,2,0,0,0,0,0,1,0,54,54,108,0.981818,0.069142,0.129496
10.135.48.36,52068,20.189.173.1,443,0.159274,0.000000,0.477772,0.225212,0.190488,0.000000,0.311932,0.136383,0.112707,0.000000,0.311128,0.132296,0.789051,2039,509.75,509,510,0.433013,65542,16385.5,16382,16387,2.061553,67581,8447.625,509,16387,7937.87514,4,4,8,0.99975,5.069381,5.069381,10.138762,1821,455.25,89,1354,521.7942,339,84.75,60,153,39.480217,2160,270.0,60,1354,413.801281,0.186161,2307.835615,429.630024,2737.465639,0,0,0,4,8,0,0,0,3,0,1,0,216,216,432,0.118551,0.635294,0.2
10.135.48.36,52108,221.194.154.216,443,0.011601,0.000000,0.052730,0.020341,0.006590,0.000000,0.035487,0.012957,0.006187,0.000000,0.037087,0.012462,0.092906,4604,511.555556,510,512,0.831479,3417,488.142857,455,501,17.133331,8021,501.3125,455,512,16.239299,9,7,16,0.777691,96.872107,75.344972,172.217079,9511,1056.777778,54,1354,527.810525,1095,156.428571,60,710,226.159146,10606,662.875,54,1354,615.281529,0.11513,102372.290272,11786.106387,114158.396659,0,0,0,4,16,0,0,0,2,0,2,0,486,378,864,0.051093,0.344891,0.081463
