src,sport,dst,dport,fiat_mean,fiat_min,fiat_max,fiat_std,biat_mean,biat_min,biat_max,biat_std,diat_mean,diat_min,diat_max,diat_std,duration,fwin_total,fwin_mean,fwin_min,fwin_max,fwin_std,bwin_total,bwin_mean,bwin_min,bwin_max,bwin_std,dwin_total,dwin_mean,dwin_min,dwin_max,dwin_std,fpnum,bpnum,dpnum,bfpnum_rate,fpnum_s,bpnum_s,dpnum_s,fpl_total,fpl_mean,fpl_min,fpl_max,fpl_std,bpl_total,bpl_mean,bpl_min,bpl_max,bpl_std,dpl_total,dpl_mean,dpl_min,dpl_max,dpl_std,bfpl_rate,fpl_s,bpl_s,dpl_s,fin_cnt,syn_cnt,rst_cnt,pst_cnt,ack_cnt,urg_cnt,cwe_cnt,ece_cnt,fwd_pst_cnt,fwd_urg_cnt,bwd_pst_cnt,bwd_urg_cnt,fp_hdr_len,bp_hdr_len,dp_hdr_len,f_ht_len,b_ht_len,d_ht_len
10.133.27.160,52245,204.79.197.222,443,0,0,0,0,0,0,0,0,0.000202,0.000202,0.000202,0.0,0.000302,1022,1022.0,1022,1022,0.0,16386,16386.0,16386,16386,0.0,17408,8704.0,1022,16386,7682.0,1,1,2,0.999001,3311.258278,3311.258278,6622.516556,54,54.0,54,54,0.0,92,92.0,92,92,0.0,146,73.0,54,92,19.0,1.703672,178807.947020,304635.761589,483443.708609,0,0,0,1,2,0,0,0,0,0,1,0,54,54,108,0.981818,0.580645,0.739726
10.133.27.160,52233,120.133.59.143,443,2.807382,1.210552,4.805137,1.494616,0,0,0,0,2.105536,0.058112,4.805137,1.766263,8.422246,2052,513.0,513,513,0.0,0,0.0,0,0,0.0,2052,410.4,0,513,205.2,4,1,5,0.249938,0.474933,0.118733,0.593666,340,85.0,85,85,0.0,60,60.0,60,60,0.0,400,80.0,60,85,10.0,0.17647,40.369279,7.123990,47.493269,4,0,1,4,4,0,0,0,4,0,0,0,216,54,270,0.633431,0.885246,0.675
10.133.27.160,52246,120.133.59.143,443,0.043172,0.000524,0.106878,0.039354,0.030211,0.000000,0.075038,0.032659,0.020147,0.000000,0.072349,0.02693,0.302306,67842,8480.25,514,64240,21075.204529,29628,3703.5,60,29200,9636.771334,97470,6091.875,60,64240,16559.593563,8,8,16,0.999875,26.463252,26.463252,52.926504,1450,181.25,54,519,158.441432,4284,535.5,60,1354,529.346531,5734,358.375,54,1354,428.985996,2.954481,4796.464509,14171.071696,18967.536205,0,2,0,7,15,0,0,0,4,0,3,0,432,432,864,0.297726,0.100817,0.15068
10.133.27.160,50858,36.155.207.230,8080,3.383229,0.092802,9.963076,4.652654,10.060813,10.060813,10.060813,0.0,2.029937,0.044410,9.963076,3.96657,10.149787,2048,512.0,512,512,0.0,252,126.0,126,126,0.0,2300,383.333333,126,512,181.962145,4,2,6,0.499875,0.394097,0.197048,0.591145,422,105.5,54,157,51.5,268,134.0,134,134,0.0,690,115.0,54,157,44.143705,0.63507,41.577227,26.404495,67.981722,0,0,0,4,6,0,0,0,2,0,2,0,216,108,324,0.510638,0.401487,0.469565
10.133.27.160,52247,202.115.39.9,53,0.008489,0.000029,0.030090,0.010645,0.009954,0.000000,0.030582,0.012492,0.004630,0.000000,0.029840,0.008818,0.051034,453514,64787.714286,64240,65518,632.445981,146000,29200.0,29200,29200,0.0,599514,49959.5,29200,65518,17551.627866,7,5,12,0.714184,137.163460,97.973900,235.137360,446,63.714286,54,108,18.529623,480,96.0,60,238,71.004225,926,77.166667,54,238,50.540138,1.076231,8739.271858,9405.494376,18144.766234,2,2,0,3,11,0,0,0,2,0,1,0,378,270,648,0.845638,0.561331,0.699784
10.133.27.160,52248,202.115.39.9,53,0.008453,0.000118,0.030174,0.010591,0.009954,0.000000,0.030582,0.012492,0.004611,0.000000,0.029987,0.008783,0.050816,453514,64787.714286,64240,65518,632.445981,146000,29200.0,29200,29200,0.0,599514,49959.5,29200,65518,17551.627866,7,5,12,0.714184,137.751889,98.394207,236.146096,446,63.714286,54,108,18.529623,524,104.8,60,282,88.603386,970,80.833333,54,282,62.3028,1.174885,8776.763224,10311.712846,19088.476070,2,2,0,3,11,0,0,0,2,0,1,0,378,270,648,0.845638,0.514286,0.668041
10.133.27.160,52249,51.132.193.105,443,0.286093,0.000000,1.017736,0.341178,0.266521,0.000000,1.367797,0.376941,0.138839,0.000000,0.977479,0.241034,9.441159,81170,2387.352941,511,64240,10767.163914,135192,3862.628571,2047,65535,10576.724578,216362,3135.681159,511,65535,10696.448082,34,35,69,1.029381,3.601253,3.707172,7.308425,11661,342.970588,54,1288,401.614791,9587,273.914286,60,1354,425.935768,21248,307.942029,54,1354,415.56666,0.822142,1235.123781,1015.447362,2250.571143,0,2,0,36,68,0,0,0,19,0,17,0,1836,1890,3726,0.157434,0.197121,0.175358
10.133.27.160,52250,51.132.193.105,443,0.154364,0.000087,0.361542,0.177539,0.108165,0.000000,0.363079,0.165232,0.079829,0.000000,0.361290,0.148943,1.437015,67845,8480.625,515,64240,21075.062787,79877,7261.545455,0,65535,18449.416026,147722,7774.842105,0,65535,19607.114558,8,11,19,1.374828,5.567096,7.654757,13.221853,1182,147.75,54,610,181.734525,6954,632.181818,60,1354,617.975995,8136,428.210526,54,1354,540.563505,5.883244,822.538387,4839.197921,5661.736308,1,2,3,4,18,0,0,0,2,0,2,0,432,594,1026,0.365173,0.085406,0.126106
10.133.27.160,52251,202.115.39.6,53,0.004573,0.000018,0.011159,0.004495,0.004556,0.000000,0.011700,0.00491,0.002494,0.000000,0.010983,0.003922,0.027537,453514,64787.714286,64240,65518,632.445981,146000,29200.0,29200,29200,0.0,599514,49959.5,29200,65518,17551.627866,7,5,12,0.714184,254.203435,181.573882,435.777317,423,60.428571,54,85,10.82137,543,108.6,60,301,96.203118,966,80.5,54,301,66.99689,1.283685,15361.150452,19718.923630,35080.074082,2,2,0,3,11,0,0,0,2,0,1,0,378,270,648,0.891509,0.496324,0.670807
10.133.27.160,52252,202.115.39.6,53,0.004547,0.000019,0.011162,0.004494,0.004556,0.000000,0.011700,0.00491,0.002480,0.000000,0.010933,0.0039,0.027380,453514,64787.714286,64240,65518,632.445981,146000,29200.0,29200,29200,0.0,599514,49959.5,29200,65518,17551.627866,7,5,12,0.714184,255.661066,182.615047,438.276113,423,60.428571,54,85,10.82137,528,105.6,60,286,90.203326,951,79.25,54,286,62.884981,1.248224,15449.233017,19284.149014,34733.382031,2,2,0,3,11,0,0,0,2,0,1,0,378,270,648,0.891509,0.510397,0.681388
