src,sport,dst,dport,fiat_mean,fiat_min,fiat_max,fiat_std,biat_mean,biat_min,biat_max,biat_std,diat_mean,diat_min,diat_max,diat_std,duration,fwin_total,fwin_mean,fwin_min,fwin_max,fwin_std,bwin_total,bwin_mean,bwin_min,bwin_max,bwin_std,dwin_total,dwin_mean,dwin_min,dwin_max,dwin_std,fpnum,bpnum,dpnum,bfpnum_rate,fpnum_s,bpnum_s,dpnum_s,fpl_total,fpl_mean,fpl_min,fpl_max,fpl_std,bpl_total,bpl_mean,bpl_min,bpl_max,bpl_std,dpl_total,dpl_mean,dpl_min,dpl_max,dpl_std,bfpl_rate,fpl_s,bpl_s,dpl_s,fin_cnt,syn_cnt,rst_cnt,pst_cnt,ack_cnt,urg_cnt,cwe_cnt,ece_cnt,fwd_pst_cnt,fwd_urg_cnt,bwd_pst_cnt,bwd_urg_cnt,fp_hdr_len,bp_hdr_len,dp_hdr_len,f_ht_len,b_ht_len,d_ht_len
192.168.10.5,49693,202.153.190.10,443,0.437834,0.000129,10.230919,1.998893,0.314706,0.000001,10.230759,1.709517,0.182846,0.000000,10.009003,1.283482,65.459075,69653,464.353333,252,1950,434.256532,52941,253.30622,250,256,1.706169,122594,341.487465,250,1950,299.381869,150,209,359,1.393324,2.291508,3.192835,5.484343,16600,110.666667,60,619,146.877303,388987,1861.181818,60,4434,810.799249,405587,1129.768802,60,4434,1066.356413,23.43295,253.593562,5942.445719,6196.039281,0,0,0,33,359,0,0,0,16,0,17,0,8100,11286,19386,0.487922,0.029014,0.047797
192.168.10.5,49695,202.153.190.10,443,0.501965,0.000018,10.221469,2.101407,0.349602,0.000048,10.221502,1.775448,0.205648,0.000001,10.002691,1.341056,55.936484,28642,255.732143,251,256,0.925648,40854,253.751553,250,256,1.290342,69496,254.564103,250,256,1.510801,112,161,273,1.437487,2.002271,2.878265,4.880536,13793,123.151786,60,555,160.690431,271939,1689.062112,66,4434,652.698248,285732,1046.637363,60,4434,924.717799,19.715724,246.583250,4861.567631,5108.150881,0,0,0,33,273,0,0,0,15,0,18,0,6048,8694,14742,0.438452,0.03197,0.051594
192.168.10.5,49697,202.153.190.10,443,0.500303,0.000098,10.225926,2.092228,0.362922,0.000001,10.227606,1.802355,0.209899,0.000001,10.006845,1.350386,56.253020,29694,262.778761,254,290,9.497773,39419,252.685897,250,256,2.096409,69113,256.925651,250,290,8.078268,113,156,269,1.380519,2.008781,2.773184,4.781965,16813,148.787611,60,3499,352.546148,282225,1809.134615,60,4434,772.089639,299038,1111.665428,60,4434,1034.163825,16.786117,298.881731,5017.063973,5315.945704,0,0,0,33,269,0,0,0,15,0,18,0,6102,8424,14526,0.362912,0.029848,0.048576
192.168.10.5,49699,202.153.190.10,443,0.359024,0.000016,10.228289,1.773288,0.235860,0.000002,10.228335,1.452231,0.142219,0.000000,10.007729,1.107812,57.314183,51707,323.16875,251,564,115.758435,61410,251.680328,250,256,1.52448,113117,279.992574,250,564,80.813086,160,244,404,1.52499,2.791630,4.257236,7.048866,16434,102.7125,60,683,138.623699,414796,1699.983607,66,2974,609.138884,431230,1067.40099,60,2974,917.581217,25.24011,286.735309,7237.231315,7523.966624,0,0,0,33,404,0,0,0,14,0,19,0,8640,13176,21816,0.525707,0.031765,0.05059
192.168.10.15,49533,172.217.3.110,443,0,0,0,0,0.000003,0.000003,0.000003,0.0,0.000042,0.000003,0.000080,3.9e-05,0.000183,2956,2956.0,2956,2956,0.0,3244,1622.0,1622,1622,0.0,6200,2066.666667,1622,2956,628.853631,1,2,3,1.998002,5464.480874,10928.961749,16393.442623,60,60.0,60,60,0.0,120,60.0,60,60,0.0,180,60.0,60,60,0.0,1.999967,327868.852459,655737.704918,983606.557377,1,0,0,0,3,0,0,0,0,0,0,0,54,108,162,0.885246,0.892562,0.9
192.168.10.51,42395,23.194.182.143,80,8.653332,3.074954,10.047944,2.789189,7.211277,0.024714,10.048716,4.105819,3.607566,0.000580,10.024810,4.610637,43.290894,15204,2534.0,2534,2534,0.0,7042,1006.0,1006,1006,0.0,22246,1711.230769,1006,2534,761.736291,6,7,13,1.166472,0.138597,0.161697,0.300294,396,66.0,66,66,0.0,462,66.0,66,66,0.0,858,66.0,66,66,0.0,1.166664,9.147420,10.671990,19.819410,2,0,0,0,13,0,0,0,0,0,0,0,324,378,702,0.816121,0.816415,0.818182
192.168.10.14,50128,13.107.4.50,80,0.000651,0.000000,0.477752,0.004691,0.000478,0.000000,0.500789,0.004445,0.000276,0.000000,0.477697,0.003045,65.530411,146950285,1459.215382,0,1996,245.255923,140367658,1023.976029,1022,1026,1.590896,287317943,1208.304707,0,1996,267.816878,100705,137081,237786,1.361213,1536.767410,2091.868461,3628.635871,6112093,60.693044,60,419,9.266854,305809695,2230.868574,60,5894,830.903113,311921788,1311.775243,60,5894,1244.148557,50.033547,93271.092104,4666683.610454,4759954.702558,0,0,0,2384,237786,0,0,0,61,0,2323,0,5438070,7402374,12840444,0.889723,0.024206,0.041166
192.168.10.5,49698,202.153.190.10,443,0.612952,0.000003,10.213112,2.343875,0.497607,0.000048,10.213697,2.129472,0.273893,0.000000,10.000344,1.565185,65.186659,27385,255.934579,252,256,0.478921,33439,253.325758,250,256,2.518105,60824,254.493724,250,256,2.299482,107,132,239,1.233633,1.641440,2.024954,3.666394,14946,139.682243,60,539,177.249789,247183,1872.598485,66,4434,865.264628,262129,1096.774059,60,4434,1081.71127,16.538404,229.280043,3791.926198,4021.206241,0,0,0,37,239,0,0,0,18,0,19,0,5778,7128,12906,0.386566,0.028837,0.049235
192.168.10.8,50362,35.163.114.185,443,0.042360,0.000004,0.084716,0.042356,0.000003,0.000003,0.000003,0.0,0.021180,0.000003,0.084652,0.036646,0.084820,128378,42792.666667,0,64189,30258.984785,60032,30016.0,30016,30016,0.0,188410,37682.0,0,64189,24259.88596,3,2,5,0.666445,35.369017,23.579344,58.948361,205,68.333333,60,85,11.785113,145,72.5,60,85,12.5,350,70.0,60,85,12.247449,0.707314,2416.882811,1709.502476,4126.385287,2,0,1,2,5,0,0,0,1,0,1,0,162,108,270,0.786408,0.739726,0.771429
192.168.10.5,49696,202.153.190.10,443,0.309322,0.000092,10.212393,1.640076,0.214711,0.000003,10.224970,1.379836,0.126661,0.000001,10.001673,1.040842,57.757408,114339,611.438503,251,2252,679.284981,68030,251.962963,250,256,1.720927,182369,399.056893,250,2252,469.098844,187,270,457,1.443843,3.237680,4.674725,7.912405,18996,101.582888,60,683,136.544276,489078,1811.4,60,4434,702.611027,508074,1111.7593,60,4434,1003.020453,25.746366,328.892876,8467.796893,8796.689769,0,0,0,37,457,0,0,0,16,0,21,0,10098,14580,24678,0.531558,0.029811,0.048572
